Player,Pos,Squad,Age,Born,MP,Min,90s,CrdY,CrdR
Brenden Aaronson,MF,us USA,25,2000,1,76,0.8,0,0
Thelo Aasgaard,MF,no Norway,24,2002,1,90,1.0,0,0
Hamza Abdelkarim,FW,eg Egypt,18,2008,4,60,0.7,0,0
Hossam Abdelmaguid,DF,eg Egypt,25,2001,2,59,0.7,0,0
Mohamed Abdelmonem,DF,eg Egypt,27,1999,2,14,0.2,0,0
Ali Abdi,DF,tn Tunisia,32,1993,3,269,3.0,0,0
Saud Abdulhamid,DF,sa Saudi Arabia,26,1999,3,269,3.0,1,0
Abdulla Abdullaev,DF,uz Uzbekistan,28,1997,2,180,2.0,0,0
Yusuf Abdurisag,FW,qa Qatar,26,1999,2,98,1.1,0,0
Husam Abu Dahab,DF,jo Jordan,26,2000,2,178,2.0,1,0
Mohammad Abu Hasheesh,DF,jo Jordan,31,1995,1,6,0.1,0,0
Mohannad Abu Taha,DF,jo Jordan,23,2003,3,264,2.9,1,0
Mo Abualnadi,DF,jo Jordan,25,2001,1,71,0.8,0,0
Yazeed Abulaila,GK,jo Jordan,33,1993,3,270,3.0,0,0
Mahmoud Abunada,GK,qa Qatar,26,2000,3,270,3.0,1,0
Elias Achouri,"FW,MF",tn Tunisia,27,1999,3,43,0.5,0,0
Ché Adams,FW,sct Scotland,29,1996,3,145,1.6,0,0
Jayden Adams,MF,za South Africa,25,2001,3,116,1.3,0,0
Tyler Adams,MF,us USA,27,1999,4,341,3.8,1,0
Ricardo Adé,DF,ht Haiti,36,1990,3,270,3.0,0,0
Ibrahim Adel,MF,eg Egypt,25,2001,1,3,0.0,0,0
Simon Adingra,"FW,MF",ci Côte d'Ivoire,24,2002,1,16,0.2,0,0
Jonas Adjetey,DF,gh Ghana,22,2003,3,225,2.5,0,0
Michel Aebischer,"MF,FW",ch Switzerland,29,1997,4,156,1.7,0,0
Akram Afif,"FW,MF",qa Qatar,29,1996,3,238,2.6,0,0
Emmanuel Agbadou,DF,ci Côte d'Ivoire,28,1997,3,270,3.0,0,0
Rodrigo Aguirre,FW,uy Uruguay,31,1994,1,1,0.0,0,0
Ali Ahmed,MF,ca Canada,25,2000,4,234,2.6,0,0
Homam Ahmed,DF,qa Qatar,26,1999,2,122,1.4,0,1
Rayan Aït-Nouri,DF,dz Algeria,25,2001,4,284,3.2,0,0
Kristoffer Ajer,DF,no Norway,28,1998,5,480,5.3,1,0
Manuel Akanji,DF,ch Switzerland,30,1995,6,600,6.7,0,0
Nathan Aké,DF,nl Netherlands,31,1995,3,170,1.9,0,0
Yunus Akgün,MF,tr Türkiye,25,2000,2,88,1.0,1,0
Maghnes Akliouche,MF,fr France,24,2002,1,8,0.1,0,0
Kerem Aktürkoğlu,FW,tr Türkiye,27,1998,2,129,1.4,0,0
Ahmed Alaaeldin,FW,qa Qatar,33,1993,2,43,0.5,0,0
David Alaba,DF,at Austria,33,1992,4,275,3.1,0,0
Kerim Alajbegović,MF,ba Bosnia–Herz,18,2007,4,277,3.1,0,0
Jordy Alcivar,MF,ec Ecuador,26,1999,1,45,0.5,1,0
Omar Alderete,DF,py Paraguay,29,1996,4,320,3.6,0,0
Almoez Ali,FW,qa Qatar,29,1996,1,19,0.2,0,0
Hussein Ali,DF,iq Iraq,24,2002,2,162,1.8,0,0
Mohanad Ali,FW,iq Iraq,25,2000,1,13,0.1,0,0
Taha Ali,"FW,MF",se Sweden,27,1998,2,37,0.4,0,0
Khojiakbar Alijonov,MF,uz Uzbekistan,29,1997,2,135,1.5,0,0
Ali Alipour,FW,ir IR Iran,30,1995,1,38,0.4,0,0
Alisson,GK,br Brazil,33,1992,5,450,5.0,0,0
Thiago Almada,MF,ar Argentina,25,2001,5,241,2.7,1,0
Miguel Almirón,"MF,FW",py Paraguay,32,1994,4,282,3.1,1,1
Júnior Alonso,DF,py Paraguay,33,1993,5,390,4.3,1,0
Barış Alper Yılmaz,"MF,FW",tr Türkiye,26,2000,3,179,2.0,0,0
Roberto Alvarado,"FW,MF",mx Mexico,27,1998,5,428,4.8,0,0
Edson Álvarez,"MF,DF",mx Mexico,28,1997,4,240,2.7,1,0
Julián Álvarez,FW,ar Argentina,26,2000,8,602,6.7,0,0
Ayoube Amaimouni,MF,ma Morocco,21,2004,2,18,0.2,0,0
Zeki Amdouni,"FW,MF",ch Switzerland,25,2000,4,73,0.8,0,0
Michael Amir Murillo,"DF,MF",pa Panama,30,1996,3,270,3.0,0,0
Nadiem Amiri,MF,de Germany,29,1996,2,42,0.5,0,0
Amir Al Ammari,MF,iq Iraq,28,1997,3,247,2.7,2,0
Azizbek Amonov,FW,uz Uzbekistan,28,1997,1,14,0.2,0,0
Mohamed Amoura,"FW,MF",dz Algeria,26,2000,1,27,0.3,0,0
Sofyan Amrabat,MF,ma Morocco,29,1996,3,147,1.6,0,0
Abdulelah Al-Amri,DF,sa Saudi Arabia,29,1997,3,239,2.7,1,0
Youssef Amyn,MF,iq Iraq,22,2003,1,31,0.3,0,0
Elliot Anderson,MF,eng England,23,2002,8,632,7.0,1,0
Andrés Andrade Cedeño,DF,pa Panama,27,1998,3,270,3.0,1,0
Fredrik André Bjørkan,DF,no Norway,27,1998,1,45,0.5,0,0
Nilson Angulo,MF,ec Ecuador,22,2003,4,218,2.4,0,0
Waldemar Anton,"DF,MF",de Germany,29,1996,2,50,0.6,0,0
Jeremy Antonisse,"FW,MF",cw Curaçao,24,2002,2,75,0.8,0,0
Houssem Aouar,MF,dz Algeria,27,1998,3,173,1.9,0,0
Oswin Appollis,"MF,FW",za South Africa,24,2001,4,255,2.8,0,0
Yazan Al-Arab,DF,jo Jordan,30,1996,3,270,3.0,1,0
Maxi Araújo,"FW,MF",uy Uruguay,26,2000,3,250,2.8,0,0
Tomás Araújo,DF,pt Portugal,24,2002,1,90,1.0,1,0
Telmo Arcanjo,MF,cv Cabo Verde,24,2001,2,57,0.6,0,0
Álex Arce,FW,py Paraguay,30,1995,2,53,0.6,1,0
Carlens Arcus,"MF,DF",ht Haiti,29,1996,3,146,1.6,1,0
Max Arfsten,MF,us USA,25,2001,1,1,0.0,0,0
Jhon Arias,MF,co Colombia,28,1997,5,377,4.2,1,0
Santiago Arias,DF,co Colombia,34,1992,1,86,1.0,0,0
Marko Arnautović,FW,at Austria,37,1989,4,144,1.6,1,0
Benjamin Asare,GK,gh Ghana,33,1992,3,225,2.5,0,0
Emam Ashour,MF,eg Egypt,28,1998,5,362,4.0,0,0
Rustam Ashurmatov,DF,uz Uzbekistan,29,1996,3,256,2.8,0,0
Lawrence Ati-Zigi,GK,gh Ghana,29,1996,2,135,1.5,0,0
Marwan Attia,MF,eg Egypt,27,1998,5,434,4.8,2,0
Fredrik Aursnes,"MF,DF",no Norway,30,1995,6,304,3.4,0,0
Gabriel Ávalos,FW,py Paraguay,35,1990,4,141,1.6,0,0
Yasin Ayari,MF,se Sweden,22,2003,4,339,3.8,1,0
Oğuz Aydın,DF,tr Türkiye,25,2000,1,89,1.0,0,0
Jordan Ayew,FW,gh Ghana,34,1991,4,300,3.3,0,0
Kaan Ayhan,"DF,MF",tr Türkiye,31,1994,1,3,0.0,0,0
Neil El Aynaoui,MF,ma Morocco,24,2001,6,562,6.2,0,0
Ali Azaizeh,MF,jo Jordan,22,2004,3,54,0.6,0,0
Juninho Bacuna,MF,cw Curaçao,28,1997,3,254,2.8,2,0
Leandro Bacuna,MF,cw Curaçao,34,1991,3,270,3.0,1,0
Álex Baena,"MF,FW",es Spain,24,2001,7,481,5.3,1,0
Esmir Bajraktarevic,MF,ba Bosnia–Herz,21,2005,4,230,2.6,0,0
Cédric Bakambu,FW,cd Congo DR,35,1991,3,190,2.1,0,0
Fabián Balbuena,DF,py Paraguay,34,1991,1,1,0.0,0,0
Folarin Balogun,FW,us USA,24,2001,4,312,3.5,1,1
Simon Banza,"FW,MF",cd Congo DR,29,1996,2,40,0.4,0,0
Yoel Bárcenas,MF,pa Panama,32,1993,3,249,2.8,1,0
Valentín Barco,"DF,MF",ar Argentina,21,2004,1,20,0.2,0,0
Bradley Barcola,MF,fr France,23,2002,8,384,4.3,1,0
Abdülkerim Bardakcı,DF,tr Türkiye,31,1994,3,265,2.9,0,0
Ivan Bašić,MF,ba Bosnia–Herz,24,2002,3,179,2.0,0,0
Ahmed Basil,GK,iq Iraq,29,1996,2,135,1.5,0,0
Martin Baturina,"MF,FW",hr Croatia,23,2003,4,321,3.6,0,0
Ibrahim Bayesh,"MF,FW",iq Iraq,26,2000,3,235,2.6,0,0
Samed Baždar,FW,ba Bosnia–Herz,22,2004,1,29,0.3,0,0
Riechedly Bazoer,DF,cw Curaçao,29,1996,1,90,1.0,0,0
Patrick Beach,GK,au Australia,22,2003,4,388,4.3,0,0
Aziz Behich,MF,au Australia,35,1990,3,217,2.4,0,0
Maximilian Beier,"FW,MF",de Germany,23,2002,1,27,0.3,0,0
Alireza Beiranvand,GK,ir IR Iran,33,1992,3,270,3.0,0,0
Zineddine Belaïd,DF,dz Algeria,27,1999,2,25,0.3,0,0
Rafik Belghali,DF,dz Algeria,24,2002,4,331,3.7,0,0
Joe Bell,MF,nz New Zealand,27,1999,3,243,2.7,0,0
Jean-Ricner Bellegarde,MF,ht Haiti,27,1998,3,260,2.9,1,0
Jude Bellingham,MF,eng England,22,2003,8,614,6.8,1,0
Mortadha Ben Ouanes,"DF,MF",tn Tunisia,31,1994,1,23,0.3,0,0
Anis Ben Slimane,"MF,FW",tn Tunisia,25,2001,3,240,2.7,0,0
Oussama Benbot,GK,dz Algeria,31,1994,1,90,1.0,0,0
Nadhir Benbouali,FW,dz Algeria,26,2000,1,45,0.5,0,0
Gilson Benchimol,FW,cv Cabo Verde,24,2001,2,78,0.9,0,0
Ramy Bensebaini,DF,dz Algeria,31,1995,4,360,4.0,0,0
Nabil Bentaleb,MF,dz Algeria,31,1994,4,285,3.2,0,0
Rodrigo Bentancur,MF,uy Uruguay,28,1997,3,270,3.0,1,0
Patrick Berg,MF,no Norway,28,1997,6,445,4.9,1,0
Sander Berge,MF,no Norway,28,1998,5,480,5.3,0,0
Lucas Bergvall,MF,se Sweden,20,2006,4,181,2.0,1,0
Sebastian Berhalter,MF,us USA,25,2001,5,187,2.1,1,0
Alexander Bernhardsson,MF,se Sweden,27,1998,3,217,2.4,0,0
Tyler Bindon,DF,nz New Zealand,21,2005,3,97,1.1,0,0
César Blackman,"MF,DF",pa Panama,28,1998,2,178,2.0,1,0
Damián Bobadilla,MF,py Paraguay,24,2001,4,189,2.1,0,0
Oscar Bobb,FW,no Norway,22,2003,6,225,2.5,0,0
Moïse Bombito,DF,ca Canada,26,2000,3,193,2.1,0,0
Theo Bongonda,"FW,MF",cd Congo DR,30,1995,2,34,0.4,0,0
Ange-Yoan Bonny,FW,ci Côte d'Ivoire,22,2003,4,234,2.6,0,0
Jordy Bos,"MF,DF",au Australia,23,2002,4,308,3.4,1,0
Ayyoub Bouaddi,MF,ma Morocco,18,2007,5,381,4.2,0,0
Hicham Boudaoui,MF,dz Algeria,26,1999,3,128,1.4,1,0
Karim Boudiaf,MF,qa Qatar,35,1990,2,102,1.1,0,0
Adil Boulbina,FW,dz Algeria,23,2003,2,19,0.2,0,0
Yassine Bounou,GK,ma Morocco,35,1991,6,570,6.3,0,0
Nawaf Boushal,DF,sa Saudi Arabia,26,1999,2,91,1.0,0,0
Michael Boxall,DF,nz New Zealand,37,1988,3,207,2.3,0,0
Sultan Al-Brake,DF,qa Qatar,30,1996,2,141,1.6,0,0
Joshua Brenet,DF,cw Curaçao,32,1994,2,179,2.0,0,0
Brian Brobbey,FW,nl Netherlands,24,2002,4,223,2.5,0,0
Dylan Bronn,DF,tn Tunisia,30,1995,1,45,0.5,0,0
Nathaniel Brown,DF,de Germany,22,2003,3,282,3.1,0,0
Tajon Buchanan,MF,ca Canada,27,1999,5,376,4.2,0,0
Ante Budimir,FW,hr Croatia,34,1991,3,155,1.7,0,0
Firas Al-Buraikan,FW,sa Saudi Arabia,26,2000,3,238,2.6,1,0
Cameron Burgess,DF,au Australia,30,1995,2,135,1.5,0,0
Dan Burn,DF,eng England,34,1992,3,35,0.4,0,0
