Player,Pos,Squad,Age,Born,MP,Min,90s,CrdY,CrdR,AgeGroup,CardsPer90
Andy Robertson,DF,sct Scotland,32,1994,3,225,2.5,1,0,30+,0.4
David Alaba,DF,at Austria,33,1992,4,275,3.1,0,0,30+,0.0
Ihsan Haddad,DF,jo Jordan,32,1994,3,260,2.9,0,0,30+,0.0
Douglas Santos,DF,br Brazil,32,1994,5,441,4.9,1,0,30+,0.2040816326530612
Ghislain Konan,DF,ci Côte d'Ivoire,30,1995,3,269,3.0,0,0,30+,0.0
Soufiane Rahimi,FW,ma Morocco,30,1996,6,163,1.8,0,0,30+,0.0
Antonio Sanabria,FW,py Paraguay,30,1996,2,83,0.9,0,0,30+,0.0
Ali Nemati,DF,ir IR Iran,30,1996,3,270,3.0,1,0,30+,0.3333333333333333
Júnior Alonso,DF,py Paraguay,33,1993,5,390,4.3,1,0,30+,0.23255813953488372
Joshua Brenet,DF,cw Curaçao,32,1994,2,179,2.0,0,0,30+,0.0
Frantzdy Pierrot,FW,ht Haiti,31,1995,3,143,1.6,1,0,30+,0.625
Çağlar Söyüncü,DF,tr Türkiye,30,1996,1,7,0.1,0,0,30+,0.0
Mehdi Taremi,FW,ir IR Iran,33,1992,3,259,2.9,0,0,30+,0.0
Nkosinathi Sibisi,DF,za South Africa,30,1995,1,90,1.0,1,0,30+,1.0
Riyad Mahrez,MF,dz Algeria,35,1991,4,262,2.9,0,0,30+,0.0
Juriën Gaari,DF,cw Curaçao,32,1993,2,166,1.8,1,0,30+,0.5555555555555556
Fabián Ruiz Peña,MF,es Spain,30,1996,8,321,3.6,0,0,30+,0.0
Fredrik Aursnes,"MF,DF",no Norway,30,1995,6,304,3.4,0,0,30+,0.0
Jackson Irvine,MF,au Australia,33,1993,4,223,2.5,1,0,30+,0.4
Ramy Bensebaini,DF,dz Algeria,31,1995,4,360,4.0,0,0,30+,0.0
Trézéguet,MF,eg Egypt,31,1994,4,164,1.8,0,0,30+,0.0
Cédric Bakambu,FW,cd Congo DR,35,1991,3,190,2.1,0,0,30+,0.0
Andrej Kramarić,"FW,MF",hr Croatia,34,1991,3,59,0.7,0,0,30+,0.0
Thomas Meunier,DF,be Belgium,34,1991,3,190,2.1,0,0,30+,0.0
Cameron Burgess,DF,au Australia,30,1995,2,135,1.5,0,0,30+,0.0
Richie Laryea,DF,ca Canada,31,1995,5,429,4.8,1,0,30+,0.20833333333333334
Jaroslav Zelený,MF,cz Czechia,33,1992,2,126,1.4,0,0,30+,0.0
Ollie Watkins,"FW,MF",eng England,30,1995,2,52,0.6,0,0,30+,0.0
Michael Amir Murillo,"DF,MF",pa Panama,30,1996,3,270,3.0,0,0,30+,0.0
Yūto Nagatomo,"DF,MF",jp Japan,39,1986,1,16,0.2,0,0,30+,0.0
