match_id,date,team,opponent,result,goals,shots_on_target,shots_total,fouls,xg,source
26/06/2026_Paraguay_Australia,26/06/2026,Australia,Paraguay,Draw,0,5,12,6,0.55,TheStatsDontLie
14/06/2026_Netherlands_Japan,14/06/2026,Japan,Netherlands,Draw,2,3,10,7,0.59,TheStatsDontLie
22/06/2026_France_Iraq,22/06/2026,France,Iraq,Win,3,5,19,8,2.67,TheStatsDontLie
24/06/2026_Bosnia & Herzegovina_Qatar,24/06/2026,Qatar,Bosnia & Herzegovina,Loss,1,3,9,14,0.77,TheStatsDontLie
19/06/2026_USA_Australia,19/06/2026,USA,Australia,Win,2,2,10,12,1.08,TheStatsDontLie
14/06/2026_Haiti_Scotland,14/06/2026,Haiti,Scotland,Loss,0,2,15,23,1.05,TheStatsDontLie
27/06/2026_Croatia_Ghana,27/06/2026,Croatia,Ghana,Win,2,4,8,9,0.42,TheStatsDontLie
20/06/2026_Netherlands_Sweden,20/06/2026,Sweden,Netherlands,Loss,1,8,16,12,1.01,TheStatsDontLie
20/06/2026_Germany_Ivory Coast,20/06/2026,Germany,Ivory Coast,Win,2,7,16,5,1.89,TheStatsDontLie
14/06/2026_Netherlands_Japan,14/06/2026,Netherlands,Japan,Draw,2,6,10,7,0.78,TheStatsDontLie
18/06/2026_Switzerland_Bosnia & Herzegovina,18/06/2026,Bosnia & Herzegovina,Switzerland,Loss,1,3,5,18,0.23,TheStatsDontLie
22/06/2026_New Zealand_Egypt,22/06/2026,New Zealand,Egypt,Loss,1,5,11,14,1.24,TheStatsDontLie
24/06/2026_Colombia_D.R. Congo,24/06/2026,Colombia,D.R. Congo,Win,1,9,20,12,0.98,TheStatsDontLie
27/06/2026_Croatia_Ghana,27/06/2026,Ghana,Croatia,Loss,1,1,6,13,0.74,TheStatsDontLie
24/06/2026_Morocco_Haiti,24/06/2026,Morocco,Haiti,Win,4,11,22,10,3.76,TheStatsDontLie
20/06/2026_Netherlands_Sweden,20/06/2026,Netherlands,Sweden,Win,5,7,10,9,2.61,TheStatsDontLie
15/06/2026_Belgium_Egypt,15/06/2026,Egypt,Belgium,Draw,1,3,14,15,1.08,TheStatsDontLie
21/06/2026_Ecuador_Curacao,21/06/2026,Curacao,Ecuador,Draw,0,3,10,10,0.5,TheStatsDontLie
27/06/2026_Cape Verde_Saudi Arabia,27/06/2026,Saudi Arabia,Cape Verde,Draw,0,3,7,16,0.39,TheStatsDontLie
21/06/2026_Spain_Saudi Arabia,21/06/2026,Saudi Arabia,Spain,Loss,0,1,3,2,0.14,TheStatsDontLie
13/06/2026_Brazil_Morocco,13/06/2026,Morocco,Brazil,Draw,1,3,14,14,1.37,TheStatsDontLie
26/06/2026_Turkey_USA,26/06/2026,USA,Turkey,Loss,2,7,18,13,2.13,TheStatsDontLie
25/06/2026_Ecuador_Germany,25/06/2026,Ecuador,Germany,Win,2,3,7,15,1.27,TheStatsDontLie
26/06/2026_Japan_Sweden,26/06/2026,Sweden,Japan,Draw,1,5,11,11,0.64,TheStatsDontLie
19/06/2026_Mexico_South Korea,19/06/2026,South Korea,Mexico,Loss,0,2,9,7,0.91,TheStatsDontLie
18/06/2026_Ghana_Panama,18/06/2026,Panama,Ghana,Loss,0,4,11,11,0.73,TheStatsDontLie
13/06/2026_Qatar_Switzerland,13/06/2026,Switzerland,Qatar,Draw,1,7,26,11,3.2,TheStatsDontLie
12/06/2026_Canada_Bosnia & Herzegovina,12/06/2026,Canada,Bosnia & Herzegovina,Draw,1,4,13,10,1.25,TheStatsDontLie
15/06/2026_Belgium_Egypt,15/06/2026,Belgium,Egypt,Draw,1,3,15,15,1.35,TheStatsDontLie
27/06/2026_Cape Verde_Saudi Arabia,27/06/2026,Cape Verde,Saudi Arabia,Draw,0,2,15,10,1.39,TheStatsDontLie
16/06/2026_Iran_New Zealand,16/06/2026,New Zealand,Iran,Draw,2,8,14,8,1.24,TheStatsDontLie
24/06/2026_Switzerland_Canada,24/06/2026,Switzerland,Canada,Win,2,4,6,19,1.11,TheStatsDontLie
17/06/2026_Argentina_Algeria,17/06/2026,Argentina,Algeria,Win,3,6,10,13,1.26,TheStatsDontLie
14/06/2026_Germany_Curacao,14/06/2026,Germany,Curacao,Win,7,12,26,18,4.22,TheStatsDontLie
13/06/2026_Brazil_Morocco,13/06/2026,Brazil,Morocco,Draw,1,5,12,16,1.26,TheStatsDontLie
24/06/2026_Panama_Croatia,24/06/2026,Croatia,Panama,Win,1,2,6,12,1.65,TheStatsDontLie
25/06/2026_Ecuador_Germany,25/06/2026,Germany,Ecuador,Loss,1,3,11,10,0.65,TheStatsDontLie
17/06/2026_England_Croatia,17/06/2026,England,Croatia,Win,4,11,22,10,3.2,TheStatsDontLie
26/06/2026_Turkey_USA,26/06/2026,Turkey,USA,Win,3,3,9,13,3.01,TheStatsDontLie
27/06/2026_Uruguay_Spain,27/06/2026,Spain,Uruguay,Win,1,1,6,14,0.86,TheStatsDontLie
