match_id,Higher,Lower,goal_difference
3c1e3816,2,0,2
3dac8725,0,0,0
3ed2ad56,2,3,-1
43fec9f3,2,1,1
48cce92a,3,0,3
4a03a810,2,1,1
58580af9,1,1,0
5f18a385,1,1,0
60dedabb,6,0,6
7382111b,2,3,-1
82209c60,0,1,-1
881ab666,0,3,-3
904bbbdc,5,0,5
9f71086a,0,1,-1
a039dc32,2,2,0
ac3ca9ea,1,4,-3
acc93b55,1,1,0
b709bfa1,3,0,3
c4104726,0,1,-1
cc4ebc5b,1,2,-1
cf968279,3,2,1
d280258e,2,1,1
da47849b,3,0,3
e7d8a062,2,0,2
f26b468c,0,3,-3
f2e8741b,1,0,1
f527457d,5,1,4
f8ee7eef,0,1,-1
faa0cb98,2,2,0
fb7171eb,0,0,0
