match_id,date,team,opponent,possession,goals
3c1e3816,"June 11, 2026","Mexico","South Africa",61,2
3c1e3816,"June 11, 2026","South Africa","Mexico",40,0
beebb792,"June 11, 2026","Korea Republic","Czechia",62,2
beebb792,"June 11, 2026","Czechia","Korea Republic",38,1
f6d2bd84,"June 12, 2026","Canada","Bosnia and Herzegovina",61,1
f6d2bd84,"June 12, 2026","Bosnia and Herzegovina","Canada",39,1
f6c0596c,"June 12, 2026","United States","Paraguay",65,4
f6c0596c,"June 12, 2026","Paraguay","United States",35,1
58580af9,"June 13, 2026","Qatar","Switzerland",32,1
58580af9,"June 13, 2026","Switzerland","Qatar",68,1
72d993fd,"June 13, 2026","Brazil","Morocco",51,1
72d993fd,"June 13, 2026","Morocco","Brazil",49,1
4ff2342a,"June 13, 2026","Australia","Türkiye",28,2
4ff2342a,"June 13, 2026","Türkiye","Australia",72,0
58c3106f,"June 13, 2026","Haiti","Scotland",54,0
58c3106f,"June 13, 2026","Scotland","Haiti",46,1
a2c54ed9,"June 14, 2026","Germany","Curaçao",65,7
a2c54ed9,"June 14, 2026","Curaçao","Germany",35,1
faa0cb98,"June 14, 2026","Netherlands","Japan",60,2
faa0cb98,"June 14, 2026","Japan","Netherlands",40,2
f8ee7eef,"June 14, 2026","Côte d'Ivoire","Ecuador",48,1
f8ee7eef,"June 14, 2026","Ecuador","Côte d'Ivoire",52,0
6df52cfd,"June 14, 2026","Sweden","Tunisia",49,5
6df52cfd,"June 14, 2026","Tunisia","Sweden",51,1
5f18a385,"June 15, 2026","Belgium","Egypt",54,1
5f18a385,"June 15, 2026","Egypt","Belgium",46,1
c100284d,"June 15, 2026","Spain","Cabo Verde",74,0
c100284d,"June 15, 2026","Cabo Verde","Spain",26,0
82de5964,"June 15, 2026","Saudi Arabia","Uruguay",33,1
82de5964,"June 15, 2026","Uruguay","Saudi Arabia",67,1
a039dc32,"June 15, 2026","IR Iran","New Zealand",48,2
a039dc32,"June 15, 2026","New Zealand","IR Iran",52,2
2712fac7,"June 16, 2026","France","Senegal",54,3
2712fac7,"June 16, 2026","Senegal","France",46,1
17eda16a,"June 16, 2026","Iraq","Norway",39,1
17eda16a,"June 16, 2026","Norway","Iraq",61,4
881ab666,"June 16, 2026","Argentina","Algeria",48,3
881ab666,"June 16, 2026","Algeria","Argentina",52,0
140e19d9,"June 16, 2026","Austria","Jordan",63,3
140e19d9,"June 16, 2026","Jordan","Austria",37,1
c95830e9,"June 17, 2026","Portugal","Congo DR",75,1
c95830e9,"June 17, 2026","Congo DR","Portugal",25,1
c42ce3be,"June 17, 2026","England","Croatia",52,4
c42ce3be,"June 17, 2026","Croatia","England",48,2
9f71086a,"June 17, 2026","Ghana","Panama",38,1
9f71086a,"June 17, 2026","Panama","Ghana",62,0
3329959e,"June 17, 2026","Uzbekistan","Colombia",39,1
3329959e,"June 17, 2026","Colombia","Uzbekistan",62,3
02f675d6,"June 18, 2026","Czechia","South Africa",38,1
