match_id,date,team,opponent,result,goals,shots_on_target,shots_total,fouls,xg,source
11/06/2026_Mexico_South Africa,11/06/2026,Mexico,South Africa,Win,2,4,16,12,1.46,TheStatsDontLie
11/06/2026_Mexico_South Africa,11/06/2026,South Africa,Mexico,Loss,0,2,3,11,0.07,TheStatsDontLie
12/06/2026_South Korea_Czech Republic,12/06/2026,South Korea,Czech Republic,Win,2,6,15,9,2.3,TheStatsDontLie
12/06/2026_South Korea_Czech Republic,12/06/2026,Czech Republic,South Korea,Loss,1,4,7,16,0.83,TheStatsDontLie
12/06/2026_Canada_Bosnia & Herzegovina,12/06/2026,Canada,Bosnia & Herzegovina,Draw,1,4,13,10,1.25,TheStatsDontLie
12/06/2026_Canada_Bosnia & Herzegovina,12/06/2026,Bosnia & Herzegovina,Canada,Draw,1,3,8,20,0.98,TheStatsDontLie
13/06/2026_USA_Paraguay,13/06/2026,USA,Paraguay,Win,4,6,16,13,1.42,TheStatsDontLie
13/06/2026_USA_Paraguay,13/06/2026,Paraguay,USA,Loss,1,1,9,17,0.54,TheStatsDontLie
13/06/2026_Qatar_Switzerland,13/06/2026,Qatar,Switzerland,Draw,1,3,6,12,0.6,TheStatsDontLie
13/06/2026_Qatar_Switzerland,13/06/2026,Switzerland,Qatar,Draw,1,7,26,11,3.2,TheStatsDontLie
13/06/2026_Brazil_Morocco,13/06/2026,Brazil,Morocco,Draw,1,5,12,16,1.26,TheStatsDontLie
13/06/2026_Brazil_Morocco,13/06/2026,Morocco,Brazil,Draw,1,3,14,14,1.37,TheStatsDontLie
14/06/2026_Haiti_Scotland,14/06/2026,Haiti,Scotland,Loss,0,2,15,23,1.05,TheStatsDontLie
14/06/2026_Haiti_Scotland,14/06/2026,Scotland,Haiti,Win,1,2,9,21,1.05,TheStatsDontLie
14/06/2026_Australia_Turkey,14/06/2026,Australia,Turkey,Win,2,4,9,12,1.18,TheStatsDontLie
14/06/2026_Australia_Turkey,14/06/2026,Turkey,Australia,Loss,0,8,30,4,1.36,TheStatsDontLie
14/06/2026_Germany_Curacao,14/06/2026,Germany,Curacao,Win,7,12,26,18,4.22,TheStatsDontLie
14/06/2026_Germany_Curacao,14/06/2026,Curacao,Germany,Loss,1,2,8,11,0.41,TheStatsDontLie
14/06/2026_Netherlands_Japan,14/06/2026,Netherlands,Japan,Draw,2,6,10,7,0.78,TheStatsDontLie
14/06/2026_Netherlands_Japan,14/06/2026,Japan,Netherlands,Draw,2,3,10,7,0.59,TheStatsDontLie
15/06/2026_Ivory Coast_Ecuador,15/06/2026,Ivory Coast,Ecuador,Win,1,4,15,10,1.52,TheStatsDontLie
15/06/2026_Ivory Coast_Ecuador,15/06/2026,Ecuador,Ivory Coast,Loss,0,1,12,13,1.01,TheStatsDontLie
15/06/2026_Sweden_Tunisia,15/06/2026,Sweden,Tunisia,Win,5,7,13,10,1.33,TheStatsDontLie
15/06/2026_Sweden_Tunisia,15/06/2026,Tunisia,Sweden,Loss,1,2,6,8,0.28,TheStatsDontLie
